Toll Price (EUR),EV Share,Total CO2 (kg),Grid Cost (EUR),Toll Revenue (EUR),Total Vehicles
0.0,0.316082121471343,3013.040343832166,632.3877228015992,0.0,2338
0.5,0.36569717707442256,2803.9550063766646,732.4623930565986,741.5,2338
1.0,0.3896492728828058,2737.001017208105,766.0283098557994,1427.0,2338
1.5,0.43926432848588537,2459.718195051459,888.9377532615993,1966.5,2338
2.0,0.490590248075278,2324.33734131122,950.8870050292,2382.0,2338
2.5,0.5466210436270317,2003.5984825787054,1096.5789341411996,2650.0,2338
3.0,0.5748502994011976,1907.4942146378248,1146.5031549520006,2982.0,2338
3.5,0.6065012831479898,1738.8335489006784,1217.2848611200004,3220.0,2338
4.0,0.6531223267750214,1478.5145238823632,1337.9643233576012,3244.0,2338
4.5,0.6976047904191617,1370.078040001917,1388.3114331297993,3181.5,2338
5.0,0.7343883661248931,1130.8451008006452,1496.3667254618001,3105.0,2338
